,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
regime_logits[86],0.051,0.992,-1.77,1.954,0.035,0.012,809.0,4530.0,1.01
regime_logits[87],0.026,1.0,-1.779,1.937,0.014,0.01,5339.0,5628.0,1.0
regime_logits[88],0.009,0.999,-1.82,1.934,0.012,0.01,6649.0,5605.0,1.0
regime_logits[89],0.024,0.998,-1.811,1.936,0.035,0.01,814.0,5151.0,1.01
regime_logits[90],0.07,0.988,-1.795,1.913,0.032,0.011,961.0,4938.0,1.0
regime_logits[91],0.045,1.015,-1.865,1.954,0.028,0.012,1334.0,4491.0,1.0
regime_logits[92],0.007,1.014,-1.877,1.952,0.014,0.011,5608.0,4766.0,1.0
regime_logits[93],0.028,0.976,-1.798,1.856,0.022,0.01,1996.0,5256.0,1.0
regime_logits[94],0.018,0.988,-1.993,1.696,0.012,0.01,6707.0,5751.0,1.0
regime_logits[95],-0.007,0.996,-1.868,1.905,0.014,0.012,4751.0,4889.0,1.0
regime_logits[96],-0.02,1.004,-1.915,1.815,0.025,0.012,1702.0,3744.0,1.0
regime_logits[97],-0.011,0.99,-1.92,1.781,0.029,0.011,1197.0,849.0,1.0
regime_logits[98],-0.02,0.996,-1.885,1.834,0.013,0.01,6244.0,6086.0,1.0
regime_logits[99],0.017,1.011,-1.881,1.903,0.022,0.011,2176.0,4142.0,1.0
regime_logits[100],0.03,0.986,-1.867,1.82,0.027,0.011,1351.0,5162.0,1.01
regime_logits[101],-0.026,0.986,-1.881,1.828,0.024,0.011,1702.0,4715.0,1.0
regime_logits[102],0.05,1.003,-1.874,1.895,0.035,0.012,834.0,3152.0,1.0
regime_logits[103],-0.018,1.011,-1.929,1.892,0.014,0.01,5334.0,5515.0,1.0
regime_logits[104],-0.057,0.995,-1.938,1.822,0.028,0.011,1268.0,4700.0,1.0
regime_logits[105],0.035,0.994,-1.796,1.92,0.019,0.01,2744.0,5319.0,1.0
regime_logits[106],-0.001,0.983,-1.906,1.769,0.016,0.01,3870.0,5119.0,1.0
regime_logits[107],0.001,1.005,-1.871,1.918,0.013,0.01,6220.0,5638.0,1.0
regime_logits[108],0.055,1.017,-1.86,1.947,0.03,0.011,1111.0,4135.0,1.0
regime_logits[109],-0.002,0.998,-1.88,1.882,0.016,0.013,3758.0,4764.0,1.0
regime_logits[110],0.032,1.016,-1.914,1.901,0.027,0.012,1404.0,4903.0,1.0
regime_logits[111],0.075,0.985,-1.81,1.884,0.03,0.011,1061.0,3704.0,1.0
regime_logits[112],0.009,1.008,-1.744,2.034,0.012,0.011,7374.0,5816.0,1.0
regime_logits[113],-0.022,1.006,-1.921,1.846,0.016,0.011,3939.0,4675.0,1.0
regime_logits[114],0.009,1.022,-1.871,1.894,0.036,0.011,799.0,414.0,1.01
regime_logits[115],0.041,0.989,-1.81,1.959,0.021,0.01,2149.0,5815.0,1.0
regime_logits[116],0.004,1.017,-1.957,1.848,0.015,0.011,4601.0,5026.0,1.0
regime_logits[117],-0.028,1.0,-1.891,1.82,0.013,0.011,6066.0,5890.0,1.0
regime_logits[118],0.012,0.99,-1.808,1.922,0.014,0.012,5157.0,4277.0,1.0
regime_logits[119],-0.009,1.01,-1.886,1.877,0.028,0.013,1347.0,520.0,1.0
regime[0],0.542,0.498,0.0,1.0,0.036,0.003,187.0,187.0,1.02
regime[1],0.547,0.498,0.0,1.0,0.046,0.004,116.0,116.0,1.03
regime[2],0.523,0.5,0.0,1.0,0.013,0.001,1524.0,1524.0,1.0
regime[3],0.452,0.498,0.0,1.0,0.033,0.003,223.0,223.0,1.02
regime[4],0.492,0.5,0.0,1.0,0.005,0.0,8496.0,8000.0,1.0
regime[5],0.519,0.5,0.0,1.0,0.013,0.0,1527.0,1527.0,1.0
regime[6],0.45,0.498,0.0,1.0,0.041,0.004,144.0,144.0,1.02
regime[7],0.55,0.498,0.0,1.0,0.039,0.004,163.0,163.0,1.03
regime[8],0.447,0.497,0.0,1.0,0.046,0.005,116.0,116.0,1.03
regime[9],0.539,0.499,0.0,1.0,0.031,0.002,260.0,260.0,1.02
regime[10],0.522,0.5,0.0,1.0,0.012,0.001,1824.0,1824.0,1.0
regime[11],0.436,0.496,0.0,1.0,0.048,0.006,107.0,107.0,1.04
regime[12],0.457,0.498,0.0,1.0,0.042,0.004,140.0,140.0,1.03
regime[13],0.451,0.498,0.0,1.0,0.04,0.004,154.0,154.0,1.02
regime[14],0.55,0.498,0.0,1.0,0.045,0.005,124.0,124.0,1.03
regime[15],0.461,0.499,0.0,1.0,0.038,0.003,176.0,176.0,1.02
regime[16],0.458,0.498,0.0,1.0,0.03,0.003,282.0,282.0,1.01
regime[17],0.501,0.5,0.0,1.0,0.005,0.0,8267.0,8000.0,1.0
regime[18],0.445,0.497,0.0,1.0,0.047,0.005,112.0,112.0,1.03
regime[19],0.452,0.498,0.0,1.0,0.037,0.004,179.0,179.0,1.02
regime[20],0.48,0.5,0.0,1.0,0.015,0.001,1145.0,1145.0,1.01
regime[21],0.463,0.499,0.0,1.0,0.031,0.002,260.0,260.0,1.01
regime[22],0.444,0.497,0.0,1.0,0.048,0.005,108.0,108.0,1.04
regime[23],0.46,0.498,0.0,1.0,0.039,0.003,159.0,159.0,1.02
regime[24],0.493,0.5,0.0,1.0,0.006,0.0,7636.0,7636.0,1.0
regime[25],0.537,0.499,0.0,1.0,0.029,0.002,303.0,303.0,1.01
regime[26],0.465,0.499,0.0,1.0,0.024,0.002,441.0,441.0,1.01
regime[27],0.454,0.498,0.0,1.0,0.04,0.004,152.0,152.0,1.03
regime[28],0.496,0.5,0.0,1.0,0.006,0.0,8043.0,8000.0,1.0
regime[29],0.461,0.499,0.0,1.0,0.033,0.003,230.0,230.0,1.02
regime[30],0.476,0.499,0.0,1.0,0.027,0.001,353.0,353.0,1.01
regime[31],0.453,0.498,0.0,1.0,0.048,0.005,107.0,107.0,1.04
regime[32],0.465,0.499,0.0,1.0,0.029,0.002,292.0,292.0,1.02
regime[33],0.451,0.498,0.0,1.0,0.04,0.004,157.0,157.0,1.02
regime[34],0.438,0.496,0.0,1.0,0.042,0.005,138.0,138.0,1.03
regime[35],0.445,0.497,0.0,1.0,0.045,0.005,124.0,124.0,1.03
regime[36],0.525,0.499,0.0,1.0,0.017,0.001,905.0,905.0,1.01
regime[37],0.542,0.498,0.0,1.0,0.04,0.003,152.0,152.0,1.03
regime[38],0.515,0.5,0.0,1.0,0.011,0.0,2154.0,2154.0,1.0
regime[39],0.497,0.5,0.0,1.0,0.008,0.0,4207.0,4207.0,1.0
regime[40],0.456,0.498,0.0,1.0,0.039,0.003,162.0,162.0,1.02
regime[41],0.556,0.497,0.0,1.0,0.043,0.005,136.0,136.0,1.03
regime[42],0.492,0.5,0.0,1.0,0.01,0.0,2656.0,2656.0,1.0
regime[43],0.45,0.497,0.0,1.0,0.045,0.005,124.0,124.0,1.03
regime[44],0.548,0.498,0.0,1.0,0.04,0.004,151.0,151.0,1.02
regime[45],0.458,0.498,0.0,1.0,0.03,0.002,281.0,281.0,1.01
regime[46],0.444,0.497,0.0,1.0,0.047,0.005,112.0,112.0,1.04
regime[47],0.554,0.497,0.0,1.0,0.047,0.005,114.0,114.0,1.03
regime[48],0.46,0.498,0.0,1.0,0.035,0.003,206.0,206.0,1.02
