,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_0[2],-0.135,0.423,-1.132,0.508,0.012,0.019,1587.0,1308.0,1.01
beta_1[0],-0.05,0.761,-1.548,1.461,0.065,0.019,135.0,271.0,1.03
beta_1[1],-0.03,0.281,-0.617,0.546,0.006,0.01,3233.0,2267.0,1.0
beta_1[2],-0.106,0.397,-1.0,0.595,0.009,0.013,2453.0,1945.0,1.01
transform_power[0],1.112,0.315,0.53,1.705,0.006,0.004,3109.0,4529.0,1.0
transform_power[1],0.992,0.295,0.419,1.519,0.003,0.004,7954.0,5241.0,1.0
transform_power[2],1.008,0.295,0.447,1.546,0.003,0.004,8005.0,4652.0,1.0
global_importance[0],0.481,0.266,0.019,0.882,0.01,0.003,654.0,396.0,1.01
global_importance[1],0.228,0.196,0.004,0.612,0.006,0.004,927.0,1759.0,1.0
global_importance[2],0.291,0.232,0.006,0.732,0.007,0.004,616.0,403.0,1.01
sigma_0,4.449,0.846,2.988,6.015,0.035,0.015,567.0,1315.0,1.0
sigma_1,4.407,0.851,3.048,6.169,0.038,0.013,482.0,1499.0,1.0
mixture_weights[0],0.936,0.07,0.817,1.0,0.001,0.002,3876.0,2830.0,1.0
mixture_weights[1],0.064,0.07,0.0,0.183,0.001,0.002,3876.0,2830.0,1.0
regime_probs[0],0.507,0.208,0.144,0.872,0.005,0.002,1618.0,4510.0,1.0
regime_probs[1],0.505,0.207,0.133,0.865,0.008,0.002,735.0,4857.0,1.01
regime_probs[2],0.502,0.207,0.128,0.861,0.003,0.002,6267.0,5390.0,1.0
regime_probs[3],0.491,0.209,0.109,0.845,0.005,0.002,2160.0,4909.0,1.0
regime_probs[4],0.495,0.209,0.146,0.876,0.004,0.002,3336.0,2829.0,1.0
regime_probs[5],0.506,0.207,0.139,0.873,0.003,0.002,5903.0,5892.0,1.0
regime_probs[6],0.494,0.205,0.149,0.875,0.006,0.002,1049.0,3878.0,1.0
regime_probs[7],0.511,0.206,0.159,0.89,0.006,0.002,1166.0,3743.0,1.01
regime_probs[8],0.489,0.206,0.135,0.859,0.006,0.002,1046.0,3840.0,1.0
regime_probs[9],0.506,0.207,0.153,0.885,0.004,0.002,2435.0,5741.0,1.0
regime_probs[10],0.505,0.207,0.157,0.893,0.003,0.002,4414.0,5830.0,1.0
regime_probs[11],0.486,0.208,0.109,0.842,0.008,0.002,780.0,3777.0,1.0
regime_probs[12],0.496,0.206,0.123,0.847,0.008,0.002,711.0,3498.0,1.01
regime_probs[13],0.491,0.208,0.12,0.858,0.006,0.002,1242.0,3721.0,1.0
regime_probs[14],0.512,0.21,0.134,0.872,0.007,0.002,1009.0,4234.0,1.0
regime_probs[15],0.491,0.207,0.134,0.862,0.006,0.002,1232.0,3856.0,1.0
regime_probs[16],0.494,0.208,0.126,0.863,0.005,0.002,1652.0,4105.0,1.0
regime_probs[17],0.501,0.207,0.138,0.867,0.003,0.002,6714.0,5579.0,1.0
regime_probs[18],0.492,0.207,0.122,0.854,0.008,0.002,655.0,4459.0,1.01
regime_probs[19],0.491,0.206,0.129,0.849,0.006,0.002,1044.0,4590.0,1.01
regime_probs[20],0.498,0.206,0.132,0.863,0.002,0.002,7067.0,5764.0,1.0
regime_probs[21],0.495,0.21,0.12,0.856,0.005,0.002,1769.0,4307.0,1.0
regime_probs[22],0.491,0.21,0.122,0.856,0.009,0.002,571.0,3948.0,1.01
regime_probs[23],0.492,0.205,0.128,0.854,0.006,0.002,1106.0,4878.0,1.0
regime_probs[24],0.5,0.21,0.125,0.865,0.003,0.002,6713.0,5475.0,1.0
regime_probs[25],0.505,0.209,0.148,0.891,0.005,0.002,1730.0,4202.0,1.0
regime_probs[26],0.491,0.208,0.123,0.859,0.004,0.002,3904.0,5710.0,1.0
regime_probs[27],0.493,0.212,0.122,0.855,0.008,0.002,671.0,1638.0,1.01
regime_probs[28],0.499,0.21,0.142,0.873,0.003,0.002,3858.0,5450.0,1.0
regime_probs[29],0.495,0.208,0.128,0.856,0.005,0.002,1904.0,5338.0,1.0
regime_probs[30],0.497,0.206,0.122,0.851,0.003,0.002,3747.0,5570.0,1.0
regime_probs[31],0.493,0.21,0.131,0.869,0.008,0.002,783.0,3896.0,1.0
regime_probs[32],0.495,0.205,0.133,0.862,0.005,0.002,1972.0,5389.0,1.0
regime_probs[33],0.489,0.204,0.12,0.844,0.006,0.002,1307.0,4974.0,1.0
regime_probs[34],0.485,0.207,0.121,0.857,0.007,0.002,1007.0,3975.0,1.0
regime_probs[35],0.493,0.21,0.127,0.86,0.008,0.002,704.0,4573.0,1.01
regime_probs[36],0.503,0.207,0.136,0.872,0.004,0.002,2657.0,5329.0,1.0
regime_probs[37],0.5,0.208,0.109,0.846,0.009,0.003,530.0,424.0,1.01
regime_probs[38],0.501,0.209,0.138,0.874,0.003,0.002,5599.0,5584.0,1.0
regime_probs[39],0.501,0.207,0.127,0.857,0.003,0.002,6725.0,4739.0,1.0
regime_probs[40],0.489,0.209,0.111,0.849,0.006,0.002,1129.0,4267.0,1.0
regime_probs[41],0.514,0.209,0.145,0.884,0.007,0.002,952.0,4384.0,1.0
regime_probs[42],0.5,0.205,0.146,0.872,0.002,0.002,7007.0,5785.0,1.0
regime_probs[43],0.495,0.212,0.116,0.857,0.009,0.002,595.0,4287.0,1.01
regime_probs[44],0.509,0.209,0.147,0.88,0.008,0.002,809.0,4383.0,1.01
regime_probs[45],0.489,0.21,0.111,0.843,0.005,0.002,2143.0,5077.0,1.0
regime_probs[46],0.487,0.209,0.115,0.85,0.008,0.002,770.0,3368.0,1.0
regime_probs[47],0.508,0.205,0.15,0.875,0.008,0.002,683.0,3806.0,1.0
regime_probs[48],0.492,0.209,0.124,0.859,0.006,0.002,1364.0,5381.0,1.0
regime_probs[49],0.5,0.208,0.148,0.877,0.003,0.002,4953.0,4146.0,1.0
regime_probs[50],0.491,0.208,0.133,0.86,0.003,0.002,6328.0,5772.0,1.0
regime_probs[51],0.493,0.209,0.127,0.86,0.008,0.002,664.0,2606.0,1.01
regime_probs[52],0.508,0.209,0.137,0.869,0.005,0.002,1574.0,5201.0,1.0
regime_probs[53],0.508,0.209,0.151,0.888,0.006,0.002,1307.0,3894.0,1.0
regime_probs[54],0.507,0.207,0.153,0.884,0.003,0.002,4863.0,5401.0,1.0
regime_probs[55],0.494,0.207,0.123,0.849,0.007,0.002,1011.0,5283.0,1.01
regime_probs[56],0.501,0.21,0.13,0.868,0.006,0.003,1175.0,522.0,1.0
regime_probs[57],0.503,0.21,0.155,0.887,0.004,0.002,2675.0,1540.0,1.0
regime_probs[58],0.497,0.206,0.138,0.87,0.003,0.002,6762.0,5947.0,1.0
regime_probs[59],0.508,0.207,0.151,0.882,0.004,0.002,2644.0,4307.0,1.0
regime_probs[60],0.503,0.203,0.138,0.851,0.003,0.002,4193.0,5874.0,1.0
regime_probs[61],0.491,0.208,0.127,0.861,0.003,0.002,5026.0,5032.0,1.0
regime_probs[62],0.511,0.208,0.144,0.879,0.005,0.002,2026.0,5167.0,1.0
regime_probs[63],0.501,0.213,0.136,0.887,0.006,0.004,885.0,537.0,1.01
regime_probs[64],0.495,0.206,0.126,0.849,0.003,0.002,3687.0,5729.0,1.0
regime_probs[65],0.504,0.208,0.144,0.88,0.003,0.002,5003.0,4930.0,1.0
regime_probs[66],0.495,0.207,0.127,0.863,0.005,0.002,2067.0,5211.0,1.0
regime_probs[67],0.495,0.208,0.129,0.863,0.003,0.002,6425.0,5811.0,1.0
regime_probs[68],0.487,0.208,0.129,0.867,0.007,0.002,925.0,4229.0,1.0
regime_probs[69],0.507,0.208,0.137,0.875,0.003,0.002,5338.0,4309.0,1.0
regime_probs[70],0.513,0.207,0.14,0.873,0.006,0.002,1317.0,4311.0,1.0
regime_probs[71],0.503,0.211,0.147,0.876,0.007,0.002,1057.0,4978.0,1.01
regime_probs[72],0.506,0.207,0.14,0.873,0.003,0.002,5824.0,5520.0,1.0
regime_probs[73],0.505,0.209,0.129,0.863,0.003,0.002,6166.0,5463.0,1.0
regime_probs[74],0.511,0.207,0.155,0.881,0.008,0.002,754.0,4384.0,1.0
regime_probs[75],0.492,0.206,0.132,0.86,0.005,0.002,1831.0,5245.0,1.0
regime_probs[76],0.504,0.208,0.124,0.86,0.003,0.002,5754.0,5687.0,1.0
regime_probs[77],0.489,0.207,0.124,0.856,0.003,0.002,4529.0,5817.0,1.0
regime_probs[78],0.51,0.208,0.137,0.875,0.005,0.002,1674.0,5263.0,1.0
regime_probs[79],0.507,0.21,0.132,0.866,0.007,0.002,1079.0,3853.0,1.0
regime_probs[80],0.493,0.208,0.126,0.86,0.003,0.002,4282.0,4254.0,1.0
regime_probs[81],0.496,0.207,0.128,0.859,0.003,0.002,6501.0,5436.0,1.0
regime_probs[82],0.5,0.209,0.129,0.863,0.003,0.002,6496.0,5705.0,1.0
regime_probs[83],0.51,0.208,0.136,0.87,0.004,0.002,2487.0,4707.0,1.0
regime_probs[84],0.507,0.209,0.132,0.87,0.004,0.002,2990.0,4845.0,1.0
regime_probs[85],0.507,0.208,0.137,0.865,0.003,0.002,6420.0,5786.0,1.0
regime_probs[86],0.511,0.207,0.146,0.876,0.007,0.002,809.0,4530.0,1.01
regime_probs[87],0.506,0.208,0.146,0.876,0.003,0.002,5339.0,5628.0,1.0
regime_probs[88],0.502,0.208,0.139,0.874,0.003,0.002,6649.0,5605.0,1.0
regime_probs[89],0.505,0.208,0.141,0.874,0.007,0.002,814.0,5151.0,1.01
regime_probs[90],0.515,0.206,0.142,0.871,0.007,0.002,961.0,4938.0,1.0
regime_probs[91],0.51,0.21,0.139,0.881,0.006,0.002,1334.0,4491.0,1.0
regime_probs[92],0.501,0.21,0.133,0.876,0.003,0.002,5608.0,4766.0,1.0
regime_probs[93],0.506,0.205,0.16,0.882,0.005,0.002,1996.0,5256.0,1.0
regime_probs[94],0.503,0.207,0.12,0.845,0.003,0.002,6707.0,5751.0,1.0
regime_probs[95],0.498,0.207,0.134,0.87,0.003,0.002,4751.0,4889.0,1.0
regime_probs[96],0.496,0.209,0.128,0.86,0.005,0.002,1702.0,3744.0,1.0
regime_probs[97],0.498,0.207,0.128,0.856,0.006,0.002,1197.0,849.0,1.0
regime_probs[98],0.496,0.208,0.132,0.862,0.003,0.002,6244.0,6086.0,1.0
regime_probs[99],0.503,0.21,0.132,0.87,0.005,0.002,2176.0,4142.0,1.0
regime_probs[100],0.506,0.206,0.134,0.861,0.006,0.002,1351.0,5162.0,1.01
regime_probs[101],0.494,0.206,0.132,0.862,0.005,0.002,1702.0,4715.0,1.0
regime_probs[102],0.511,0.208,0.133,0.869,0.007,0.002,834.0,3152.0,1.0
regime_probs[103],0.496,0.21,0.127,0.869,0.003,0.002,5334.0,5515.0,1.0
regime_probs[104],0.487,0.207,0.126,0.861,0.006,0.002,1268.0,4700.0,1.0
